,Hotel_Name,Hotel_Address,Country,City
0,Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,Netherlands,Amsterdam
405,K K Hotel George,1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom,United Kingdom,London
971,Apex Temple Court Hotel,1 2 Serjeant s Inn Fleet Street City of London London EC4Y 1LL United Kingdom,United Kingdom,London
2008,The Park Grand London Paddington,1 3 Queens Garden Westminster Borough London W2 3BA United Kingdom,United Kingdom,London
3778,Monhotel Lounge SPA,1 3 Rue d Argentine 16th arr 75116 Paris France,France,Paris
3813,Kube Hotel Ice Bar,1 5 Passage Ruelle 18th arr 75018 Paris France,France,Paris
3832,The Principal London,1 8 Russell Square Camden London WC1B 5BE United Kingdom,United Kingdom,London
5257,Park Plaza County Hall London,1 Addington Street Lambeth London SE1 7RY United Kingdom,United Kingdom,London
7480,One Aldwych,1 Aldwych Westminster Borough London WC2B 4BZ United Kingdom,United Kingdom,London
7616,Splendid Etoile,1 Avenue Carnot 17th arr 75017 Paris France,France,Paris
7743,Hotel Trianon Rive Gauche,1 Bis Rue De Vaugirard 6th arr 75006 Paris France,France,Paris
7961,InterContinental London Park Lane,1 Hamilton Place Park Lane Westminster Borough London W1J 7QY United Kingdom,United Kingdom,London
8121,Novotel Suites Paris Nord 18 me,1 Impasse Marteau 18th arr 75018 Paris France,France,Paris
8301,Grand Royale London Hyde Park,1 Inverness Terrace Westminster Borough London W2 3JP United Kingdom,United Kingdom,London
11259,Milestone Hotel Kensington,1 Kensington Court Kensington and Chelsea London W8 5DL United Kingdom,United Kingdom,London
11345,Crowne Plaza London Kings Cross,1 Kings Cross Road Islington London WC1X 9HX United Kingdom,United Kingdom,London
12352,Select Hotel,1 Place De La Sorbonne 5th arr 75005 Paris France,France,Paris
12608,H tel De Vend me,1 Place Vend me 1st arr 75001 Paris France,France,Paris
12697,Pullman Paris Centre Bercy,1 Rue De Libourne 12th arr 75012 Paris France,France,Paris
12921,Gardette Park Hotel,1 Rue Du G n ral Blaise 11th arr 75011 Paris France,France,Paris
13100,Hotel Panache,1 rue Geoffroy Marie 9th arr 75009 Paris France,France,Paris
