,Hotel_Name,Hotel_Address,lat,lng,Reviewer_Average_Score,Total_No_Of_Reviewers,Non_Reviewer_Average_Score
117428,Sansi Diputacio,234 Diputacio Eixample 08007 Barcelona Spain,41.3882234,2.1644551,7.86315789474,57,7.66666666667
129312,The One Barcelona GL,277 Carrer de Proven a Eixample 08037 Barcelona Spain,41.3961448,2.1631674,9.42235294118,85,9.35957446809
269113,Catalonia Port,Ample 1 Pla a Duc de Medinaceli Ciutat Vella 08002 Barcelona Spain,41.378751,2.17873,9.1191011236,178,8.20210526316
270039,Eurostars Angli,Angli 60 Sarri St Gervasi 08017 Barcelona Spain,41.4031654,2.1231637,8.23766233766,77,8.396
272345,Catalonia Catedral,Arcs 10 Ciutat Vella 08002 Barcelona Spain,41.3846637,2.1740902,9.24590163934,488,9.10931174089
273131,Axel Hotel Barcelona Urban Spa Adults Only,Aribau 33 Eixample 08011 Barcelona Spain,41.3873478,2.1603987,8.07558139535,602,7.83085501859
273733,Cram,Aribau 54 Eixample 08011 Barcelona Spain,41.3880549,2.1599602,8.70880503145,159,8.168
275588,Room Mate Gerard,Ausi s Marc 34 Eixample 08010 Barcelona Spain,41.3919114,2.1765438,8.69285714286,14,9.28666666667
275602,H10 Marina Barcelona,Avenida Bogatell 64 68 Sant Mart 08005 Barcelona Spain,41.393227,2.1927427,8.11886792453,318,8.35357142857
275920,Barcelona Princess,Avenida Diagonal 1 Sant Mart 08019 Barcelona Spain,41.4109715,2.2186535,8.21928651059,897,8.48282828283
276817,Novotel Barcelona City,Avenida Diagonal 201 Sant Mart 08018 Barcelona Spain,41.4038774,2.1911894,8.28649635036,274,8.61448275862
277091,The Gates Diagonal Barcelona,Avenida Diagonal 205 Sant Mart 08018 Barcelona Spain,41.4036219,2.1902808,8.0668989547,287,7.86666666667
277378,AC Hotel Diagonal L Illa a Marriott Lifestyle Hotel,Avenida Diagonal 555 Les Corts 08029 Barcelona Spain,41.3899609,2.135684,8.39821428571,56,8.91388888889
277434,Wilson Boutique Hotel,Avenida Diagonal 568 Sarri St Gervasi 08021 Barcelona Spain,41.3944029,2.150194,8.78275862069,145,8.50952380952
277579,NH Hesperia Barcelona Presidente,Avenida Diagonal 570 Sarri St Gervasi 08021 Barcelona Spain,41.3941338,2.1489569,8.4225,120,8.99444444444
277699,Hilton Barcelona,Avenida Diagonal 589 591 Les Corts 08014 Barcelona Spain,41.388682,2.1316368,8.31555555556,45,7.88913043478
277744,Vincci Mae,Avenida Diagonal 596 Sarri St Gervasi 08021 Barcelona Spain,41.3933943,2.1461315,8.99528301887,106,8.70196078431
277850,Fairmont Rey Juan Carlos I,Avenida Diagonal 661 671 Les Corts 08028 Barcelona Spain,41.3835246,2.1096141,8.25583756345,197,8.38285714286
278047,Pullman Barcelona Skipper,Avenida Litoral 10 Ciutat Vella 08005 Barcelona Spain,41.3860183,2.19473,8.53956834532,278,8.68442211055
278325,Hotel Ciutadella Barcelona,Avenida Marqu s de l Argentera 4 Ciutat Vella 08003 Barcelona Spain,41.3837583,2.1846933,8.31505376344,93,7.71538461538
278418,Catalonia Atenas,Avenida Meridiana 151 Sant Mart 08026 Barcelona Spain,41.4110056,2.1866009,8.06899151744,1061,7.5685767098
279479,Tryp Barcelona Apolo Hotel,Avenida Paralelo 57 59 Sants Montju c 08004 Barcelona Spain,41.3747031,2.1707106,7.49608938547,179,8.53513513514
279658,Sansi Pedralbes,Avenida Pearson 1 3 Les Corts 08034 Barcelona Spain,41.39367,2.1115418,8.37333333333,30,8.4347826087
279688,Crowne Plaza Barcelona Fira Center,Avenida Rius y Taulet 1 3 Sants Montju c 08004 Barcelona Spain,41.3725246,2.1540788,9.00166666667,120,8.35185185185
279808,Gran Hotel Torre Catalunya,Avenida Roma 2 4 Sants Montju c 08014 Barcelona Spain,41.3795572,2.1425457,8.69005235602,382,8.1623255814
280190,H10 Itaca,Avenida Roma 22 30 Eixample 08015 Barcelona Spain,41.3810311,2.1455516,8.0272,125,8.55409836066
280315,Hotel Abbot,Avenida Roma 23 Eixample 08029 Barcelona Spain,41.3815028,2.1449138,7.55128205128,39,7.164
280354,Sercotel Amister Art Hotel Barcelona,Avenida Roma 93 95 Eixample 08029 Barcelona Spain,41.3844072,2.1514584,8.47875,80,8.52931034483
280434,Melia Barcelona Sarri ,Avenida Sarri 50 Les Corts 08029 Barcelona Spain,41.391058,2.141706,8.16448598131,107,8.02333333333
280541,ABaC Restaurant Hotel Barcelona GL Monumento,Avenida Tibidabo 1 Sarri St Gervasi 08022 Barcelona Spain,41.4106944,2.136294,8.46451612903,31,9.84
280572,Col n Hotel Barcelona,Avinguda Catedral 7 Ciutat Vella 08002 Barcelona Spain,41.3849613,2.1756666,8.87297979798,396,8.96294117647
280968,Hotel SB Icaria Barcelona,Avinguda Icaria 195 Sant Mart 08005 Barcelona Spain,41.3935591,2.1993915,8.11835518474,839,7.77380410023
281807,Hotel Barcelona Universal,Avinguda Paral lel 76 78 Ciutat Vella 08001 Barcelona Spain,41.375237,2.1684058,8.95217391304,253,8.45315315315
282060,Aparthotel Arai 4 Superior,Avinyo 30 Ciutat Vella 08002 Barcelona Spain,41.3807517,2.1772425,9.44,205,8.92727272727
282265,NH Collection Barcelona Podium,Bail n 4 6 Eixample 08010 Barcelona Spain,,,9.01780821918,146,8.72083333333
282411,Hotel Ronda Lesseps,Ballester 77 81 Gr cia 08023 Barcelona Spain,41.408641,2.1478143,7.61686746988,83,6.98139534884
282494,Hotel Barcelona Center,Balmes 103 105 Eixample 08008 Barcelona Spain,41.3917169,2.1592614,8.47007874016,254,8.2609375
282748,Olivia Balmes Hotel,Balmes 117 Eixample 08008 Barcelona Spain,41.392095,2.158493,9.41039215686,510,9.06926229508
283258,Catalonia Diagonal Centro,Balmes 142 146 Eixample 08008 Barcelona Spain,41.3938632,2.1568039,8.00365853659,246,8.26573426573
284867,AC Hotel Victoria Suites a Marriott Lifestyle Hotel,Beltran i R zpide 7 9 Les Corts 08034 Barcelona Spain,41.3893478,2.1209755,8.82888888889,45,8.17083333333
284912,Catalonia Plaza Catalunya,Bergara 11 Eixample 08002 Barcelona Spain,41.3865289,2.1682919,8.67510373444,964,8.4331797235
286466,Hotel Pulitzer,Bergara 8 Eixample 08002 Barcelona Spain,41.386136,2.1682914,8.86767676768,495,8.669140625
