,Hotel_Name,Hotel_Address,lat,lng,Reviewer_Average_Score,Total_No_Of_Reviewers,Non_Reviewer_Average_Score
405,K K Hotel George,1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom,51.4918878,-0.1949706,8.60282685512,566,8.26147540984
971,Apex Temple Court Hotel,1 2 Serjeant s Inn Fleet Street City of London London EC4Y 1LL United Kingdom,51.5137335,-0.1087512,9.29884281581,1037,9.03959311424
2008,The Park Grand London Paddington,1 3 Queens Garden Westminster Borough London W2 3BA United Kingdom,51.5142184,-0.1809032,7.71146892655,1770,7.68081285444
3832,The Principal London,1 8 Russell Square Camden London WC1B 5BE United Kingdom,51.5226217,-0.1251602,8.02933333333,1425,7.94226519337
5257,Park Plaza County Hall London,1 Addington Street Lambeth London SE1 7RY United Kingdom,51.5014001,-0.1160092,8.36954565902,2223,8.45121028744
7480,One Aldwych,1 Aldwych Westminster Borough London WC2B 4BZ United Kingdom,51.5117832,-0.1194172,9.14485294118,136,9.325
7961,InterContinental London Park Lane,1 Hamilton Place Park Lane Westminster Borough London W1J 7QY United Kingdom,51.5038632,-0.1504132,8.2925,160,8.7049382716
8301,Grand Royale London Hyde Park,1 Inverness Terrace Westminster Borough London W2 3JP United Kingdom,51.5109945,-0.1863417,7.61561866126,2958,7.89591836735
11259,Milestone Hotel Kensington,1 Kensington Court Kensington and Chelsea London W8 5DL United Kingdom,51.5020425,-0.1866541,9.57209302326,86,9.345
11345,Crowne Plaza London Kings Cross,1 Kings Cross Road Islington London WC1X 9HX United Kingdom,51.5263854,-0.1136042,7.95829195631,1007,8.32722929936
13425,Novotel London West,1 Shortlands Hammersmith and Fulham London W6 8DR United Kingdom,51.4919588,-0.2200956,8.24224473889,1283,8.40525568182
14708,Haymarket Hotel,1 Suffolk Place Westminster Borough London SW1Y 4HX United Kingdom,51.5084595,-0.1311382,9.59090909091,121,9.61617647059
14829,Intercontinental London The O2,1 Waterview Drive Greenwich London SE10 0TW United Kingdom,51.5024348,-0.0002497,9.45119560956,2551,9.29618441971
