,Hotel_Name,Hotel_Address,lat,lng,Reviewer_Average_Score,Total_No_Of_Reviewers,Non_Reviewer_Average_Score
221808,Hotel VIU Milan,6 Via Aristotile Fioravanti Garibaldi Station 20154 Milan Italy,45.488764,9.183057,8.80344827586,58,9.08666666667
268100,Maison Borella,Alzaia Naviglio Grande 8 Navigli 20144 Milan Italy,45.4521067,9.1758135,9.35769230769,130,8.64109589041
285876,Hotel Regina,Bergara 2 4 Eixample 08002 Barcelona Spain,41.3858891,2.1681652,8.48618843683,934,8.53862275449
302326,Worldhotel Cristoforo Colombo,Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,45.4758842,9.205791,8.5384765625,512,8.71170212766
302838,IH Hotels Milano Puccini,Corso Buenos Aires 33 Central Station 20124 Milan Italy,45.4794406,9.2096756,7.572,175,7.65157894737
303013,Best Western Hotel City,Corso Buenos Aires 42 5 Central Station 20124 Milan Italy,45.4858877,9.2042827,8.52832369942,173,8.13571428571
303186,Ch teau Monfort Relais Ch teaux,Corso Concordia 1 Milan City Center 20129 Milan Italy,45.4682358,9.2073799,8.9731277533,227,9.03836477987
303413,Palazzo Parigi Hotel Grand Spa Milano,Corso Di Porta Nuova 1 Milan City Center 20121 Milan Italy,45.473348,9.1910733,9.4106557377,122,9.13928571429
303535,Hotel Lloyd,Corso di Porta Romana 48 Milan City Center 20122 Milan Italy,45.4580781,9.1924205,7.28578199052,211,7.8674796748
303746,Hotel Romana Residence,Corso di Porta Romana 64 Milan City Center 20122 Milan Italy,45.4572218,9.1937008,7.6248502994,334,8.10628272251
304080,Hotel Crivi s,Corso di Porta Vigentina 46 Milan City Center 20122 Milan Italy,45.4529643,9.1962217,7.65405405405,74,8.38787878788
304154,Hotel Galileo,Corso Europa 9 Milan City Center 20122 Milan Italy,45.4642651,9.1960569,7.60945945946,222,8.50280373832
304376,Carlyle Brera Hotel,Corso Garibaldi 84 Milan City Center 20121 Milan Italy,45.4769923,9.1844899,8.24592274678,233,8.13920454545
304609,Boscolo Milano Autograph Collection,Corso Giacomo Matteotti 4 6 Milan City Center 20121 Milan Italy,45.46676,9.194293,7.65897435897,195,8.28524590164
304804,Mokinba Hotels King,Corso Magenta 19 Milan City Center 20123 Milan Italy,45.4656023,9.1778675,6.97960526316,152,7.787
304956,Qualys Hotel Nasco,Corso Sempione 69 Fiera Milano City 20149 Milan Italy,45.4848809,9.1596461,8.25194174757,206,8.09405940594
305162,Enterprise Hotel Design Boutique,Corso Sempione 91 Fiera Milano City 20149 Milan Italy,45.4867005,9.1575137,8.75381355932,236,8.00901639344
325890,IH Hotels Milano Ambasciatori,Galleria Del Corso 3 Milan City Center 20122 Milan Italy,45.4644348,9.1952727,7.45880503145,318,8.5695035461
366733,NH Collection Milano President,Largo Augusto 10 Milan City Center 20122 Milan Italy,45.4630685,9.1979367,8.67815750371,673,8.73693467337
367406,Hotel Dieci,Largo Rio de Janeiro 12 Citt Studi 20133 Milan Italy,45.4738012,9.2239702,7.74,50,8.58648648649
404128,ME Milan Il Duca,Piazza della Repubblica 13 Central Station 20124 Milan Italy,45.4793852,9.1961308,9.18591549296,142,9.22150537634
404270,Hotel Principe Di Savoia,Piazza Della Repubblica 17 Central Station 20124 Milan Italy,45.479888,9.1962982,9.11428571429,280,9.08340248963
404550,The Westin Palace,Piazza della Repubblica 20 Central Station 20124 Milan Italy,45.4790357,9.199028,8.31741573034,178,8.78017241379
404728,Glam Milano,Piazza Duca D Aosta 4 6 Central Station 20124 Milan Italy,45.4838504,9.2034067,8.71588014981,1335,8.97574334898
406063,Excelsior Hotel Gallia Luxury Collection Hotel,Piazza Duca D Aosta 9 Central Station 20124 Milan Italy,45.4857027,9.2020127,9.46838709677,310,9.28540540541
406373,Rosa Grand Milano Starhotels Collezione,Piazza Fontana 3 Milan City Center 20122 Milan Italy,45.4638223,9.1940273,8.42703804348,736,8.82611012433
407109,TownHouse 12,Piazza Gerusalemme 12 Sempione 20154 Milan Italy,45.4844028,9.1673528,7.875,64,8.65384615385
407173,Hotel Mozart,Piazza Gerusalemme 6 Sempione 20154 Milan Italy,45.4834133,9.1666361,7.9435546875,512,8.08947368421
407685,Hotel Dei Cavalieri,Piazza Giuseppe Missori 1 Milan City Center 20123 Milan Italy,45.4608547,9.1886179,8.29258649094,607,8.61661129568
408292,Best Western Plus Hotel Galles,Piazza Lima 2 Central Station 20124 Milan Italy,45.4805847,9.2117326,8.41223491028,613,8.68053691275
408905,Starhotels Anderson,Piazza Luigi di Savoia 20 Central Station 20124 Milan Italy,45.4852549,9.2069501,8.76571428571,490,8.57803030303
409395,Hotel Michelangelo,Piazza Luigi di Savoia 6 Central Station 20124 Milan Italy,45.4845143,9.2057532,8.41717011129,629,8.36887608069
410024,Hotel Mercure Milano Centro,Piazza Oberdan 12 Milan City Center 20129 Milan Italy,45.4747809,9.2059385,8.71923076923,78,7.87021276596
410102,NYX Milan,Piazza Quattro Novembre 3 Central Station 20124 Milan Italy,45.4868745,9.2018406,8.59555555556,180,9.1041322314
410282,The Yard Milano,Piazza XXIV Maggio 8 Milan City Center 20123 Milan Italy,45.453152,9.179172,9.29281767956,181,9.03689320388
410463,Hotel Sunflower,Piazzale Lugano 10 Bovisa 20158 Milan Italy,45.498503,9.1664111,7.14117647059,51,8.30909090909
433920,Hotel Regina,Rooseveltplatz 15 09 Alsergrund 1090 Vienna Austria,48.2163343,16.3595536,8.48618843683,934,7.91212121212
449597,Room Mate Giulia,Silvio Pellico 4 Milan City Center 20121 Milan Italy,45.4651371,9.1895249,9.39596928983,521,9.1031496063
469969,Hotel Tocq,Via A de Tocqueville 7 D Garibaldi Station 20154 Milan Italy,45.4828787,9.186346,8.74117647059,34,8.12
470003,The Square Milano Duomo,Via Albricci 2 4 Milan City Center 20122 Milan Italy,45.4608604,9.1890215,9.07185761958,899,8.86896551724
470902,Mandarin Oriental Milan,Via Andegari 9 Milan City Center 20121 Milan Italy,45.4694772,9.1909325,9.27058823529,34,9.12727272727
470936,Art Hotel Navigli,Via Angelo Carlo Fumagalli 4 Navigli 20143 Milan Italy,45.4501306,9.1696481,8.77486338798,366,8.2783919598
471442,Brunelleschi Hotel,Via Baracchini 12 Milan City Center 20123 Milan Italy,45.461177,9.191047,8.13713235294,544,8.58488745981
471986,Camperio House Suites Apartments,Via Camperio 9 Milan City Center 20123 Milan Italy,45.466598,9.183064,9.08278145695,151,8.48805970149
472137,TownHouse 33,Via Carlo Goldoni 33 Citt Studi 20129 Milan Italy,45.4693349,9.2142383,8.42033898305,59,7.86666666667
472196,Hotel Regina,Via Cesare Correnti 13 Milan City Center 20123 Milan Italy,45.459485,9.179511,8.48618843683,934,4.9
472256,Hotel Capitol Milano,Via Cimarosa 6 Fiera Milano City 20144 Milan Italy,45.4661781,9.1588367,8.12424242424,66,8.49661016949
472322,Hotel Clerici,Via Clerici 11 Milan City Center 20121 Milan Italy,45.4667717,9.1871001,8.91081081081,111,9.20625
472433,UNA Hotel Cusani,Via Cusani 13 Milan City Center 20121 Milan Italy,45.4684251,9.1834161,8.8375,264,8.74375
472697,Hotel Pierre Milano,Via De Amicis 32 Milan City Center 20123 Milan Italy,45.4595203,9.1770004,7.30895522388,67,7.79090909091
472764,MiHotel,Via Dei Fontanili 26 Ripamonti Corvetto 20141 Milan Italy,45.4405621,9.1921165,8.24545454545,22,7.1
472786,Hotel Milano Scala,Via dell Orso 7 Milan City Center 20121 Milan Italy,45.4689376,9.1868891,8.89011406844,263,8.62313432836
473049,IH Hotels Milano Gioia,Via della Giustizia 10 D Bicocca Zara 20125 Milan Italy,45.49952,9.206138,7.32080378251,423,7.84298642534
473472,Style Hotel,Via delle Erbe 1 Milan City Center 20121 Milan Italy,45.4708973,9.1840992,7.98571428571,70,6.83043478261
473542,Andreola Central Hotel,Via Domenico Scarlatti 24 Central Station 20124 Milan Italy,45.4836517,9.2078581,8.3845,200,8.14056603774
473742,Hotel Bristol,Via Domenico Scarlatti 32 Central Station 20124 Milan Italy,45.4845769,9.2065256,8.07260273973,73,7.85675675676
473815,Admiral Hotel,Via Domodossola 16 Fiera Milano City 20145 Milan Italy,45.480515,9.160063,7.13076923077,26,7.61428571429
473841,UNA Hotel Century,Via Fabio Filzi 25 B Central Station 20124 Milan Italy,45.4841371,9.2001623,8.6812987013,385,8.46026785714
474226,Hotel Marconi,Via Fabio Filzi 3 Central Station 20124 Milan Italy,45.4868744,9.2018407,8.05546875,256,8.74397163121
474482,Hotel Cavour,Via Fatebenefratelli 21 Milan City Center 20121 Milan Italy,45.4726942,9.1943911,8.447,400,8.59098712446
474882,Best Western Plus Hotel Felice Casati,Via Felice Casati 18 Central Station 20124 Milan Italy,45.4787357,9.2041131,8.35695364238,302,8.47471264368
475184,Nu Hotel,Via Feltre 19 B Citt Studi 20132 Milan Italy,45.4911829,9.2393614,8.69565217391,115,9.2671875
475299,Hotel Magna Pars Small Luxury Hotels of the World,Via Forcella 6 Navigli 20144 Milan Italy,45.4524879,9.1669784,8.77831325301,83,9.368
475382,Mercure Milano Regency,Via G Arimondi 12 Sempione 20155 Milan Italy,45.4897688,9.1549451,8.1,27,7.13157894737
475409,Hotel Auriga,Via G B Pirelli 7 Central Station 20124 Milan Italy,45.4858877,9.2042827,8.07751937984,258,8.4796460177
475667,Hotel Portello Gruppo Minihotel,Via G Silva 12 Fiera Milano City 20149 Milan Italy,45.4802503,9.1494925,7.77887323944,71,7.82459016393
475738,Idea Hotel Milano San Siro,Via Gaetano Airaghi 125 20153 Milan Italy,45.4720654,9.0777871,6.5800856531,467,7.55240174672
476205,Windsor Hotel Milano,Via Galileo Galilei 2 Central Station 20124 Milan Italy,45.4794587,9.1951427,8.28597701149,435,8.94975845411
476640,Four Points Sheraton Milan Center,Via Gerolamo Cardano 1 Central Station 20124 Milan Italy,45.4851889,9.198015,8.26691176471,136,8.08026315789
476776,Four Seasons Hotel Milano,Via Ges 6 8 Milan City Center 20121 Milan Italy,45.469339,9.195108,8.78863636364,44,9.39782608696
476820,IH Hotels Milano Watt 13,Via Giacomo Watt 13 Famagosta 20143 Milan Italy,45.443791,9.152947,7.45537634409,186,7.91647058824
477006,LaGare Hotel Milano Centrale MGallery by Sofitel,Via Gian Battista Pirelli 20 Central Station 20124 Milan Italy,45.484237,9.198858,8.60280561122,499,8.87137809187
477505,Barcel Milan,Via Giorgio Stephenson 55 20157 Milan Italy,45.51152,9.1241306,7.71845493562,233,8.8
477738,UNA Hotel Scandinavia,Via Giovanni Battista Fauch Sempione 20154 Milan Italy,45.4859983,9.1637603,8.58529411765,68,8.31290322581
477806,Acca Palace,Via Giovanni Nicotera 9 Niguarda 20161 Milan Italy,45.5099969,9.1739942,8.59090909091,209,8.3137254902
478015,Sina De La Ville,Via Hoepli 6 Milan City Center 20121 Milan Italy,45.465957,9.192297,8.17545787546,273,8.24379084967
478288,UNA Hotel Mediterraneo,Via L Muratori 14 Porta Romana 20135 Milan Italy,45.451873,9.20548,7.85890410959,73,8.615
478361,Hotel La Spezia Gruppo MiniHotel,Via La Spezia 25 Famagosta 20142 Milan Italy,45.4408963,9.1728003,7.71212121212,33,9.38695652174
479801,NH Milano Machiavelli,Via Lazzaretto 5 Central Station 20124 Milan Italy,45.4776167,9.2016244,8.45055555556,180,8.30520833333
479981,Hotel Sanpi Milano,Via Lazzaro Palazzi 18 Central Station 20124 Milan Italy,45.4777623,9.203169,8.60522875817,153,8.2484375
480134,Best Western Hotel Ascot,Via Lentasio 3 Milan City Center 20122 Milan Italy,45.4580137,9.1913676,7.55254237288,236,7.9023255814
480370,Ca Bianca Hotel Corte Del Naviglio,Via Lodovico Il Moro 117 Navigli 20143 Milan Italy,45.443502,9.1377081,7.39012345679,81,8.46060606061
480451,IH Hotels Milano Lorenteggio,Via Lorenteggio 278 Lorenteggio 20152 Milan Italy,45.4436132,9.1161094,6.71226993865,163,7.47373737374
480614,Hilton Garden Inn Milan North,Via Lucio Giunio Columella 36 Distretto Viale Monza 20128 Milan Italy,45.5161671,9.2272778,8.2725,440,8.35307017544
