,Hotel_Name,Hotel_Address,lat,lng,Reviewer_Average_Score,Total_No_Of_Reviewers,Non_Reviewer_Average_Score
3778,Monhotel Lounge SPA,1 3 Rue d Argentine 16th arr 75116 Paris France,48.8743481,2.2897334,8.84857142857,35,7.79615384615
3813,Kube Hotel Ice Bar,1 5 Passage Ruelle 18th arr 75018 Paris France,48.88657,2.3588332,5.85263157895,19,9.16923076923
7616,Splendid Etoile,1 Avenue Carnot 17th arr 75017 Paris France,48.874707,2.2936761,9.14251968504,127,8.48933333333
7743,Hotel Trianon Rive Gauche,1 Bis Rue De Vaugirard 6th arr 75006 Paris France,48.8487675,2.3410376,8.33027522936,218,7.91313131313
8121,Novotel Suites Paris Nord 18 me,1 Impasse Marteau 18th arr 75018 Paris France,48.9015941,2.3597783,7.02944444444,180,8.13296703297
12352,Select Hotel,1 Place De La Sorbonne 5th arr 75005 Paris France,48.8483053,2.3425596,8.961328125,256,8.76694915254
12608,H tel De Vend me,1 Place Vend me 1st arr 75001 Paris France,48.8668564,2.3286339,8.38539325843,89,9.1
12697,Pullman Paris Centre Bercy,1 Rue De Libourne 12th arr 75012 Paris France,48.8315204,2.3870797,8.75848214286,224,8.61266666667
12921,Gardette Park Hotel,1 Rue Du G n ral Blaise 11th arr 75011 Paris France,48.8610265,2.3788974,8.14134078212,179,8.31797752809
13100,Hotel Panache,1 rue Geoffroy Marie 9th arr 75009 Paris France,48.8732543,2.343239,8.48902439024,82,8.8275
13182,H tel des Ducs D Anjou,1 Rue Sainte Opportune 1st arr 75001 Paris France,48.8598229,2.347111,7.82037037037,108,7.4868852459
13290,Hotel Scribe Paris Opera by Sofitel,1 Rue Scribe 9th arr 75009 Paris France,48.8704175,2.3296832,8.77777777778,135,8.35257731959
17380,H tel Juliana Paris,10 12 rue Cognacq Jay 7th arr 75007 Paris France,48.8619373,2.3040298,8.5775147929,169,8.63958333333
17549,Hotel L Antoine,10 12 rue de Charonne 11th arr 75011 Paris France,48.8524215,2.3743832,9.14210526316,171,8.40714285714
17720,Belfast,10 avenue Carnot 17th arr 75017 Paris France,48.8756435,2.2938788,7.7523255814,86,7.58461538462
17806,Shangri La Hotel Paris,10 Avenue D I na 16th arr 75016 Paris France,48.8637135,2.2934759,9.10217391304,46,9.53947368421
17852,Mercure Paris Tour Eiffel Pont Mirabeau,10 Avenue Emile Zola 15th arr 75015 Paris France,48.8460269,2.2788281,7.51714285714,70,9.02424242424
18396,Hotel Le 10 BIS,10 Bis rue du D barcad re 17th arr 75017 Paris France,48.8780363,2.2864907,9.34489795918,49,8.92692307692
21536,Crowne Plaza Paris R publique,10 Place De La R publique 11th arr 75011 Paris France,48.8673199,2.3656296,8.00471698113,212,7.99290780142
21748,Le Metropolitan a Tribute Portfolio Hotel,10 Place De Mexico 16th arr 75016 Paris France,48.8656973,2.2829776,8.34242424242,66,8.21764705882
21814,Atala Champs Elys es,10 rue Chateaubriand 8th arr 75008 Paris France,48.8735418,2.302442,7.91379310345,29,8.79285714286
21843,H tel de Jos phine BONAPARTE,10 rue d Ormesson 4th arr 75004 Paris France,48.8555319,2.3621212,9.18157894737,76,8.48888888889
21919,Maison Souquet,10 rue de Bruxelles 9th arr 75009 Paris France,48.88366,2.3313845,9.34835164835,91,9.22142857143
22010,Hotel Tour d Auvergne Opera,10 Rue de la Tour d Auvergne 9th arr 75009 Paris France,48.8789432,2.3448623,8.476,25,8.05555555556
22035,Le Senat,10 rue de Vaugirard 6th arr 75006 Paris France,48.8491427,2.3397118,8.31833333333,120,8.2734939759
22155,Windsor Opera,10 Rue Gabriel Laumain 10th arr 75010 Paris France,48.8734851,2.3485111,8.08823529412,34,8.78
22189,Holiday Inn Paris Montparnasse Pasteur,10 rue Gager Gabillot 15th arr 75015 Paris France,48.8376887,2.3063102,6.32972972973,37,8.15555555556
22226,H tel Keppler,10 Rue Kepler 16th arr 75016 Paris France,48.8699103,2.2973386,9.33052631579,95,8.81558441558
22321,Les Plumes Hotel,10 rue Lamartine 9th arr 75009 Paris France,48.8766269,2.3432886,8.72654867257,113,8.99761904762
22434,Hotel des Tuileries Relais du Silence,10 rue Saint Hyacinthe 1st arr 75001 Paris France,48.8661705,2.331561,8.22307692308,91,7.83953488372
22525,Bradford Elys es Astotel,10 rue Saint Philippe du Roule 8th arr 75008 Paris France,48.8729676,2.3081178,9.12195121951,82,9.05813953488
28142,Amp re,102 Avenue de Villiers 17th arr 75017 Paris France,48.8848583,2.2997023,8.825,172,8.757
28314,Melia Paris Champs Elys es,102 Avenue Victor Hugo 16th arr 75016 Paris France,48.8688962,2.2827459,8.00666666667,15,8.74
28329,Le Parisis Paris Tour Eiffel,102 Bd De Grenelle 15th arr 75015 Paris France,48.8494851,2.2955063,8.73738317757,428,8.35601659751
30211,Hilton Paris Opera,108 Rue Saint Lazare 8th arr 75008 Paris France,48.8756604,2.3252075,8.27155963303,109,8.61538461538
33131,Holiday Inn Paris Gare de Lyon Bastille,11 15 Rue De Lyon 12th arr 75012 Paris France,48.8468064,2.3714789,8.27493670886,395,8.34829268293
33526,H tel Chaplain Paris Rive Gauche,11 Bis Rue Jules Chaplain 6th arr 75006 Paris France,48.8427564,2.3305636,8.94511278195,133,7.95909090909
33659,H tel Regina Op ra Grands Boulevards,11 Bis rue Mazagran 10th arr 75010 Paris France,48.8708508,2.3515882,8.075,44,7.592
33939,Hotel Astor Saint Honor ,11 Rue d Astorg 8th arr 75008 Paris France,48.8728324,2.3193886,7.73333333333,24,7.20526315789
33963,Op ra Marigny,11 Rue de l Arcade 8th arr 75008 Paris France,48.871723,2.3235377,7.89652173913,115,8.3925
34078,H tel Diva Opera,11 rue de Tr vise 9th arr 75009 Paris France,48.8732706,2.3450746,8.23433476395,233,8.43783783784
34311,Le Marcel,11 rue du 8 Mai 1945 10th arr 75010 Paris France,48.8761376,2.3572681,8.53055555556,72,8.45
34383,H tel Duo,11 Rue Du Temple 4th arr 75004 Paris France,48.8581186,2.3529369,8.68461538462,221,8.44285714286
34604,H tel Le Marianne,11 rue Paul Baudry 8th arr 75008 Paris France,48.8725794,2.3075779,8.5875,56,8.87027027027
35372,Hotel Eden,110 rue Blomet 15th arr 75015 Paris France,48.8405612,2.2991035,8.77142857143,70,8.01282051282
