,Hotel_Name,Hotel_Address,lat,lng,Reviewer_Average_Score,Total_No_Of_Reviewers,Non_Reviewer_Average_Score
268055,Hotel Bellevue Wien,Althanstra e 5 09 Alsergrund 1090 Vienna Austria,48.2264063,16.3600628,7.83333333333,45,8.67142857143
268230,Hotel Am Konzerthaus Vienna MGallery by Sofitel,Am Heumarkt 35 37 03 Landstra e 1030 Vienna Austria,48.1996129,16.3773546,8.83130434783,230,8.1744
268460,Park Hyatt Vienna,Am Hof 2 01 Innere Stadt 1010 Vienna Austria,48.2105243,16.3683592,9.16195652174,92,9.45487804878
268552,Hilton Vienna,Am Stadtpark 1 03 Landstra e 1030 Vienna Austria,48.2062268,16.3833767,7.83600713012,561,8.24598930481
270172,Schlosshotel R mischer Kaiser,Annagasse 16 01 Innere Stadt 1010 Vienna Austria,48.2040859,16.3725046,9.14551495017,301,8.35259259259
270473,Hotel Mailberger Hof,Annagasse 7 01 Innere Stadt 1010 Vienna Austria,48.204183,16.3726664,8.62485207101,338,7.86478873239
274963,Novotel Wien City,Aspernbr ckengasse 1 02 Leopoldstadt 1020 Vienna Austria,48.2134246,16.3831309,8.03888888889,270,8.203125
275233,The Levante Parliament A Design Hotel,Auerspergstra e 9 08 Josefstadt 1080 Vienna Austria,48.2083518,16.354532,8.37830985915,355,8.43719806763
283649,Vienna Sporthotel,Baumgasse 83 03 Landstra e 1030 Vienna Austria,48.191373,16.4082294,8.38253968254,63,8.42075471698
287865,Hotel Boltzmann,Boltzmanngasse 8 09 Alsergrund 1090 Vienna Austria,48.2216779,16.3567111,7.99571428571,70,8.21967213115
289099,Hotel ViennArt am Museumsquartier,Breite Gasse 9 07 Neubau 1070 Vienna Austria,48.2035677,16.356445,8.23231441048,458,8.78592964824
291541,Hotel Sans Souci Wien,Burggasse 2 07 Neubau 1070 Vienna Austria,48.204576,16.3563661,9.50638297872,235,9.15247524752
299896,Palais Coburg Residenz,Coburgbastei 4 01 Innere Stadt 1010 Vienna Austria,48.2058584,16.3766545,9.5125,16,9.46666666667
309513,City Rooms,Daungasse 1 6 7 08 Josefstadt 1080 Vienna Austria,48.2133296,16.3471399,7.625,44,8.24571428571
312955,Mercure Vienna First,Desider Friedmann Platz 2 01 Innere Stadt 1010 Vienna Austria,48.2114567,16.3738677,8.90253164557,79,8.65535714286
314939,Melia Vienna,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,48.231911,16.4129493,8.3369261477,501,9.01059190031
315440,Graben Hotel,Dorotheergasse 3 01 Innere Stadt 1010 Vienna Austria,48.2078955,16.3701084,8.78421052632,114,8.28181818182
318596,Austria Trend Hotel Lassalle Wien,Engerthstra e 173 175 02 Leopoldstadt 1020 Vienna Austria,48.2273013,16.4001791,8.02094594595,148,8.21818181818
322813,The Guesthouse Vienna,F hrichgasse 10 01 Innere Stadt 1010 Vienna Austria,48.2051299,16.369036,9.48356164384,292,9.24258064516
323105,Hotel Johann Strauss,Favoritenstra e 12 04 Wieden 1040 Vienna Austria,48.1949694,16.3692624,8.62545454545,110,8.26610169492
323215,Hotel Mercure Wien Westbahnhof,Felberstra e 4 15 Rudolfsheim F nfhaus 1150 Vienna Austria,48.1983543,16.3375246,7.69770114943,87,8.22592592593
324004,Hotel Eitlj rg,Filmteichstra e 5 10 Favoriten 1100 Vienna Austria,48.1513676,16.4064709,7.75,12,8.61538461538
324417,Mercure Wien Zentrum,Fleischmarkt 1a 01 Innere Stadt 1010 Vienna Austria,48.2114087,16.3746469,8.23486842105,152,8.39519230769
324569,Best Western Premier Kaiserhof Wien,Frankenberggasse 10 04 Wieden 1040 Vienna Austria,48.1975497,16.3686397,9.49640718563,334,9.1484375
324903,FourSide Hotel Suites Vienna,Freytaggasse 25 27 21 Floridsdorf 1210 Vienna Austria,48.2565936,16.4031426,8.52454545455,110,8.70921052632
327202,Mercure Secession Wien,Getreidemarkt 5 06 Mariahilf 1060 Vienna Austria,48.200561,16.3647063,8.33398058252,103,8.73424657534
327680,City Hotel Deutschmeister,Gr nentorgasse 30 09 Alsergrund 1090 Vienna Austria,,,8.12150537634,93,7.74318181818
334788,FourSide Hotel Vienna City Center,Grieshofgasse 11 12 Meidling 1120 Vienna Austria,48.1825159,16.3322428,7.88670520231,173,8.45142857143
334961,Hotel Vienna,Gro e Stadtgutgasse 31 02 Leopoldstadt 1020 Vienna Austria,48.2196722,16.3863588,7.61111111111,135,8.93544303797
335352,Rainers Hotel Vienna,Gudrunstra e 184 10 Favoriten 1100 Vienna Austria,48.1791893,16.3625367,8.29428571429,210,8.09633507853
335962,Austria Trend Hotel Bosei Wien,Gutheil Schoder Gasse 7B 10 Favoriten 1100 Vienna Austria,48.1629737,16.3404024,8.10485933504,391,8.56961130742
336353,Pertschy Palais Hotel,Habsburgergasse 5 01 Innere Stadt 1010 Vienna Austria,48.2082256,16.3684123,8.21666666667,294,7.57230769231
336647,Alma Boutique Hotel,Hafnersteig 7 01 Innere Stadt 1010 Vienna Austria,48.2112491,16.3776519,8.94144736842,152,8.22948717949
337902,Hilton Vienna Danube Waterfront,Handelskai 269 02 Leopoldstadt 1020 Vienna Austria,48.2140659,16.4217627,8.14178403756,426,8.86025104603
338713,The Harmonie Vienna,Harmoniegasse 5 7 09 Alsergrund 1090 Vienna Austria,48.2199427,16.3598984,9.24951456311,206,9.09900990099
