,Hotel_Name,lat,lng,transit_count
0,Hotel Arena,52.36057589999999,4.915968299999999,0
405,K K Hotel George,51.49188779999999,-0.19497060000000002,1
971,Apex Temple Court Hotel,51.5137335,-0.10875119999999999,2
2008,The Park Grand London Paddington,51.514218400000004,-0.18090320000000001,0
3778,Monhotel Lounge SPA,48.874348100000006,2.2897334,0
3813,Kube Hotel Ice Bar,48.88657,2.3588332000000003,2
3832,The Principal London,51.5226217,-0.1251602,2
5257,Park Plaza County Hall London,51.5014001,-0.11600919999999999,2
7480,One Aldwych,51.5117832,-0.1194172,3
7616,Splendid Etoile,48.874707,2.2936761000000003,8
7743,Hotel Trianon Rive Gauche,48.8487675,2.3410376,0
7961,InterContinental London Park Lane,51.503863200000005,-0.1504132,0
8121,Novotel Suites Paris Nord 18 me,48.9015941,2.3597783,0
8301,Grand Royale London Hyde Park,51.5109945,-0.18634170000000003,4
11259,Milestone Hotel Kensington,51.5020425,-0.18665410000000002,2
11345,Crowne Plaza London Kings Cross,51.5263854,-0.11360419999999999,1
12352,Select Hotel,48.84830529999999,2.3425596,0
12608,H tel De Vend me,48.8668564,2.3286339,0
12697,Pullman Paris Centre Bercy,48.831520399999995,2.3870797,5
12921,Gardette Park Hotel,48.8610265,2.3788974,1
13100,Hotel Panache,48.87325429999999,2.343239,2
13182,H tel des Ducs D Anjou,48.8598229,2.347111,1
13290,Hotel Scribe Paris Opera by Sofitel,48.8704175,2.3296832000000003,3
13425,Novotel London West,51.4919588,-0.2200956,0
14708,Haymarket Hotel,51.5084595,-0.1311382,1
14829,Intercontinental London The O2,51.5024348,-0.0002497,0
17380,H tel Juliana Paris,48.861937299999994,2.3040298,0
17549,Hotel L Antoine,48.852421500000005,2.3743832,3
17720,Belfast,48.8756435,2.2938788,3
17806,Shangri La Hotel Paris,48.8637135,2.2934759,2
17852,Mercure Paris Tour Eiffel Pont Mirabeau,48.8460269,2.2788281,3
17922,Knightsbridge Hotel,51.4980052,-0.1643238,0
18095,The London EDITION,51.5167472,-0.135965,1
18236,The Cranley Hotel,51.4916378,-0.18328329999999998,2
18396,Hotel Le 10 BIS,48.8780363,2.2864907000000003,0
18445,The Nadler Soho,51.5147387,-0.1341108,0
18936,Grange St Paul s Hotel,51.5127625,-0.09971569999999999,4
20090,The Ampersand Hotel,51.49430770000001,-0.1755579,7
20472,Covent Garden Hotel,51.51459860000001,-0.1270336,0
20546,The Nadler Victoria,51.4990259,-0.1427453,2
21147,Novotel London Tower Bridge,51.51065379999999,-0.07736760000000001,1
21536,Crowne Plaza Paris R publique,48.8673199,2.3656296,1
21748,Le Metropolitan a Tribute Portfolio Hotel,48.8656973,2.2829776,0
21814,Atala Champs Elys es,48.8735418,2.3024419999999997,0
21843,H tel de Jos phine BONAPARTE,48.855531899999995,2.3621212000000003,2
21919,Maison Souquet,48.88366,2.3313845,1
22010,Hotel Tour d Auvergne Opera,48.8789432,2.3448623,3
22035,Le Senat,48.8491427,2.3397118,1
22155,Windsor Opera,48.8734851,2.3485111,1
22189,Holiday Inn Paris Montparnasse Pasteur,48.8376887,2.3063102000000004,4
22226,H tel Keppler,48.869910299999994,2.2973386000000002,3
22321,Les Plumes Hotel,48.8766269,2.3432886,3
22434,Hotel des Tuileries Relais du Silence,48.8661705,2.331561,0
22525,Bradford Elys es Astotel,48.8729676,2.3081177999999998,0
22607,W London Leicester Square,51.510843,-0.1314287,0
22874,The Victoria,51.461121899999995,-0.27562159999999997,0
23036,Pullman London St Pancras,51.5286766,-0.12834890000000002,2
24278,Crowne Plaza London Kensington,51.495179,-0.183827,2
24583,Doubletree by Hilton London Kensington,51.4925138,-0.17879170000000003,3
25592,Ace Hotel London Shoreditch,51.5254162,-0.07728489999999999,4
26106,Staybridge Suites London Vauxhall,51.4891226,-0.12056389999999999,0
26350,The Grosvenor,51.4956657,-0.1452793,6
27867,The Park Tower Knightsbridge a Luxury Collection Hotel,51.5014191,-0.16258050000000002,3
28142,Amp re,48.8848583,2.2997023,0
28314,Melia Paris Champs Elys es,48.86889620000001,2.2827459,0
28329,Le Parisis Paris Tour Eiffel,48.8494851,2.2955063,0
28757,Thistle Kensington Gardens,51.510843900000005,-0.18390739999999997,1
29619,Park Plaza Sherlock Holmes London,51.5209191,-0.1566567,3
30211,Hilton Paris Opera,48.8756604,2.3252075,16
30320,The Kensington Hotel,51.4925478,-0.1780611,2
30653,Holiday Inn London Stratford City,51.5426054,-0.0072708,1
31647,Staybridge Suites London Stratford,51.542635100000005,-0.007327199999999999,1
32137,Shepherd s Bush Boutique Hotel,51.5054544,-0.2262216,4
32668,My Bloomsbury,51.5188555,-0.1319172,1
33131,Holiday Inn Paris Gare de Lyon Bastille,48.8468064,2.3714789,1
33526,H tel Chaplain Paris Rive Gauche,48.8427564,2.3305636,0
33659,H tel Regina Op ra Grands Boulevards,48.8708508,2.3515882,0
33703,11 Cadogan Gardens,51.493616100000004,-0.15923470000000003,1
33862,The Wellesley Knightsbridge a Luxury Collection Hotel London,51.502485,-0.15392650000000002,8
33939,Hotel Astor Saint Honor ,48.87283239999999,2.3193886000000004,0
33963,Op ra Marigny,48.871722999999996,2.3235377,0
34078,H tel Diva Opera,48.8732706,2.3450746,0
34311,Le Marcel,48.8761376,2.3572681,18
34383,H tel Duo,48.8581186,2.3529369,1
34604,H tel Le Marianne,48.8725794,2.3075779,0
34660,The Rembrandt,51.4959227,-0.17029170000000002,3
35372,Hotel Eden,48.8405612,2.2991035,0
35442,H tel de la Bourdonnais,48.8550466,2.304583,1
35804,Ashburn Hotel,51.49455220000001,-0.1861213,2
36043,Marlin Waterloo,51.4990953,-0.1132136,2
36127,Best Western Premier Marais Grands Boulevards,48.868742499999996,2.3541761,4
36359,Novotel London Waterloo,51.4948465,-0.1187481,4
36646,The Athenaeum,51.504715999999995,-0.1475618,4
36835,Park International Hotel,51.4945144,-0.1866172,1
37337,Lansbury Heritage Hotel,51.5090985,-0.015730200000000003,0
37377,Le Dokhan s a Tribute Portfolio Hotel,48.8663359,2.2867935,0
37445,Le Relais Madeleine,48.870961,2.3267678,1
37532,Terrass H tel Montmartre by MH,48.8865626,2.3329647999999996,4
37733,Millennium Hotel Paris Opera,48.8724588,2.3378004,1
37858,Waldorf Madeleine,48.8715828,2.3224853,0
38139,Batty Langley s,51.5208575,-0.0779503,1
38484,Best Western Mornington Hotel Hyde Park,51.51199329999999,-0.17827939999999998,0
39308,Arbor City,51.5166755,-0.0697897,1
40089,Hotel La Lanterne,48.8489839,2.348383,3
40185,H tel Square Louvois,48.868416499999995,2.336869,1
40257,Hotel Marignan Champs Elys es,48.8685093,2.3067895,0
40419,Le Grey Hotel,48.881407,2.3274204,0
40495,Le Pavillon des Lettres,48.8713699,2.3181191,0
